NCT_ID,Erectile,Erectile_quote,Erectile_summary
NCT01635686,0,,
NCT01635686,0,,
NCT01055340,0,,
NCT01635751,0,,
NCT01635985,0,,
NCT01636024,0,,
NCT04746287,0,,
NCT01636492,0,,
NCT00134056,0,,
NCT01976572,0,,
NCT02033200,0,,
NCT02372344,0,,
NCT00170157,0,,
NCT01638247,0,,
NCT01638273,0,,
NCT01638598,0,,
NCT01638611,0,,
NCT01057810,0,,
NCT03204474,0,,
NCT02387554,0,,
NCT01650155,0,,
NCT01650597,0,,
NCT01651234,0,,
NCT01651481,0,,
NCT01651858,0,,"The study evaluates the pharmacokinetics of sildenafil citrate in healthy male volunteers, but it does not specifically focus on erectile dysfunction."
NCT01651923,0,,
NCT01652339,0,,
NCT01652638,0,,
NCT01653314,0,,
NCT01611467,0,,
NCT01654705,0,,
NCT01654718,0,,
NCT02312232,0,,
NCT01657071,0,,
NCT01657201,0,,
NCT01657851,0,,
NCT01710527,0,,
NCT01662674,0,,
NCT01663038,0,,
NCT01663558,0,,
NCT01664195,0,,
NCT01664221,0,,
NCT01664676,0,,
NCT03208218,0,,
NCT03200496,0,,
NCT05366842,1,The investigators intend to study whether placement of LPT over the spared neurovascular bundle during nerve-sparing robotic prostatectomy will improve return to potency and/or continence after robotic radical prostatectomy for prostate cancer.,"The trial is focused on studying the impact of Lyopreserved Placental Tissue (LPT) on erectile function recovery following nerve-sparing robotic prostatectomy. The primary outcomes include mean time to achieve potency and percentage of group achieving potency at various time points, indicating a direct focus on erectile dysfunction."
NCT05265338,0,,
NCT03794323,0,,
NCT05169684,0,,
NCT04966507,0,,
NCT06084338,0,,
NCT02308332,0,,
NCT05457257,0,,
NCT00478335,0,,
NCT04439799,0,,
NCT04295161,0,,
NCT04242017,0,,
NCT06233227,0,,
NCT06232902,0,,
NCT06014853,0,,
NCT01294592,0,,
NCT03645863,0,,
NCT04844749,0,,
NCT05849311,0,,
NCT00393471,0,,
NCT01080586,0,,
NCT04252625,0,,
NCT04071236,0,,
NCT01004614,0,,
NCT05195775,0,,
NCT00974311,0,,
NCT00104572,0,,
NCT00103402,0,,
NCT01605227,0,,
NCT04322357,0,,
NCT04254627,0,,
NCT03198624,0,,
NCT05354453,0,,
NCT01053728,0,,
NCT00507455,0,,
NCT00503399,0,,
NCT03511664,0,,
NCT01054118,0,,
NCT01061970,0,,
NCT01060722,0,,
NCT02310048,0,,
NCT05531344,0,,
NCT02316912,0,,
NCT01687920,0,,
NCT02322606,0,,
NCT03191136,0,,
NCT03494712,0,,
NCT04856358,0,,
NCT04501250,0,,
NCT01685489,0,,
NCT00965341,0,,
NCT03540615,0,,
NCT01690169,0,,
NCT01051544,0,,
NCT00485433,0,,
NCT00346268,0,,
NCT02171715,0,,
NCT02171793,0,,
NCT02172105,0,,
NCT02174835,0,,
NCT02172261,0,,
NCT02334787,0,,
NCT01691924,0,,
NCT02502500,0,,
NCT02173665,0,,
NCT01692925,0,,
NCT02170623,0,,
NCT02436486,0,,
NCT00946309,0,,
NCT01160289,1,The primary purpose of the study is to compare the efficacy of LY2452473 + tadalafil to tadalafil alone in improving the erectile function (EF) of men with erectile dysfunction (ED) who incompletely respond to tadalafil alone.,The study is focused on improving erectile function in men with erectile dysfunction who have an incomplete response to tadalafil alone. The primary purpose explicitly mentions erectile dysfunction and the intervention aims to address this condition.
NCT02182323,0,,
NCT02432664,0,,
NCT05294536,0,,
NCT03536325,0,,
NCT02185833,0,,
NCT02180997,0,,
NCT03319706,0,,
NCT00240981,0,,
NCT04313205,0,,
NCT05075772,0,,
NCT05792917,0,,
NCT05620784,0,,
